NO,JARINGAN PENGAMATAN,NO STASIUN,LINTANG,BUJUR,DESA,KECAMATAN,KAB/KOTA,PROVINSI,JARINGAN
5305,Pos Hujan,11071401a,5.41765,95.83222,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5306,Pos Hujan,11071501a,5.30999,95.96357,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5307,Pos Hujan,11071701a,5.2542,95.94177,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5308,Pos Hujan,11071801a,5.33,95.997,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5309,Pos Hujan,11071901a,5.01231,95.91644,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5310,Pos Hujan,11072101a,5.216,95.95,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5311,Pos Hujan,11072201a,5.232,95.89,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5312,Pos Hujan,11072401a,5.25944,95.99164,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5313,Pos Hujan,11072501a,5.372,95.894,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5314,Pos Hujan,11072901a,5.283,96.041,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5315,Pos Hujan,11080101a,5.13068,97.42876,,,Kab. Aceh Utara,Nanggroe Aceh Darussalam,PHOBS
5316,Pos Hujan,11080201a,5.24592,97.01768,,,Kab. Aceh Utara,Nanggroe Aceh Darussalam,PHOBS
5317,Pos Hujan,11080401a,5.0595,97.33926,,,Kab. Aceh Utara,Nanggroe Aceh Darussalam,PHOBS
5318,Pos Hujan,11080501a,5.02756,97.29289,,,Kab. Aceh Utara,Nanggroe Aceh Darussalam,PHOBS
5319,Pos Hujan,11080601a,5.2411,96.91471,,,Kab. Aceh Utara,Nanggroe Aceh Darussalam,PHOBS
5320,Pos Hujan,11080701a,5.06026,97.20423,,,Kab. Aceh Utara,Nanggroe Aceh Darussalam,PHOBS
5321,Pos Hujan,11081001a,5.09273,97.24998,,,Kab. Aceh Utara,Nanggroe Aceh Darussalam,PHOBS
5322,Pos Hujan,11081101a,5.11468,97.18806,,,Kab. Aceh Utara,Nanggroe Aceh Darussalam,PHOBS
5323,Pos Hujan,11081201a,5.05936,97.2641,,,Kab. Aceh Utara,Nanggroe Aceh Darussalam,PHOBS
5324,Pos Hujan,11081501a,5.13069,96.88968,,,Kab. Aceh Utara,Nanggroe Aceh Darussalam,PHOBS
5325,Pos Hujan,11081701a,4.95,97.432,,,Kab. Aceh Utara,Nanggroe Aceh Darussalam,PHOBS
5326,Pos Hujan,11081801a,5.059,97.501,,,Kab. Aceh Utara,Nanggroe Aceh Darussalam,PHOBS
5327,Pos Hujan,11082101a,5.07257,97.25677,,,Kab. Aceh Utara,Nanggroe Aceh Darussalam,PHOBS
5328,Pos Hujan,11090101a,2.63,96.107,,,Kab. Simeulue,Nanggroe Aceh Darussalam,PHOBS
5329,Pos Hujan,11090201a,2.64763,95.85952,,,Kab. Simeulue,Nanggroe Aceh Darussalam,PHOBS
5330,Pos Hujan,11090301a,2.4411,96.2445,,,Kab. Simeulue,Nanggroe Aceh Darussalam,PHOBS
5331,Pos Hujan,11090401a,2.4089,96.3257,,,Kab. Simeulue,Nanggroe Aceh Darussalam,PHOBS
5332,Pos Hujan,11090402a,2.36,96.45,,,Kab. Simeulue,Nanggroe Aceh Darussalam,PHOBS
5333,Pos Hujan,11090501a,2.63,96.14,,,Kab. Simeulue,Nanggroe Aceh Darussalam,PHOBS
5334,Pos Hujan,11090601a,2.83655,95.91884,,,Kab. Simeulue,Nanggroe Aceh Darussalam,PHOBS
5335,Pos Hujan,11090801a,2.824,95.744,,,Kab. Simeulue,Nanggroe Aceh Darussalam,PHOBS
5336,Pos Hujan,11100101a,2.3417,97.38275,,,Kab. Aceh Singkil,Nanggroe Aceh Darussalam,PHOBS
5337,Pos Hujan,11100201a,2.45,98.04,,,Kab. Aceh Singkil,Nanggroe Aceh Darussalam,PHOBS
5338,Pos Hujan,11100401a,2.29,97.85,,,Kab. Aceh Singkil,Nanggroe Aceh Darussalam,PHOBS
5339,Pos Hujan,11100601a,2.37263,97.97475,,,Kab. Aceh Singkil,Nanggroe Aceh Darussalam,PHOBS
5340,Pos Hujan,11101001a,2.27679,97.93757,,,Kab. Aceh Singkil,Nanggroe Aceh Darussalam,PHOBS
5341,Pos Hujan,11101101a,2.47,97.85,,,Kab. Aceh Singkil,Nanggroe Aceh Darussalam,PHOBS
5342,Pos Hujan,11101201a,2.4772,98.03962,,,Kab. Aceh Singkil,Nanggroe Aceh Darussalam,PHOBS
5343,Pos Hujan,11101301a,2.53,97.94,,,Kab. Aceh Singkil,Nanggroe Aceh Darussalam,PHOBS
5344,Pos Hujan,11101401a,2.35187,97.711,,,Kab. Aceh Singkil,Nanggroe Aceh Darussalam,PHOBS
5345,Pos Hujan,11110101a,5.19793,96.36666,,,Kab. Bireuen,Nanggroe Aceh Darussalam,PHOBS
5346,Pos Hujan,11110201a,5.18656,96.50132,,,Kab. Bireuen,Nanggroe Aceh Darussalam,PHOBS
5347,Pos Hujan,11110301a,5.2,96.59,,,Kab. Bireuen,Nanggroe Aceh Darussalam,PHOBS
5348,Pos Hujan,11110401a,5.20483,96.66624,,,Kab. Bireuen,Nanggroe Aceh Darussalam,PHOBS
5349,Pos Hujan,11110501a,5.19857,96.7691,,,Kab. Bireuen,Nanggroe Aceh Darussalam,PHOBS
5350,Pos Hujan,11110601a,5.21507,96.87227,,,Kab. Bireuen,Nanggroe Aceh Darussalam,PHOBS
5351,Pos Hujan,11110701a,5.22469,96.89783,,,Kab. Bireuen,Nanggroe Aceh Darussalam,PHOBS
5352,Pos Hujan,11110801a,5.18564,96.46178,,,Kab. Bireuen,Nanggroe Aceh Darussalam,PHOBS
5353,Pos Hujan,11110901a,5.11937,96.71163,,,Kab. Bireuen,Nanggroe Aceh Darussalam,PHOBS
5354,Pos Hujan,11111001a,5.2503,96.79846,,,Kab. Bireuen,Nanggroe Aceh Darussalam,PHOBS
5355,Pos Hujan,11111101a,5.19215,96.41232,,,Kab. Bireuen,Nanggroe Aceh Darussalam,PHOBS
5356,Pos Hujan,11111301a,5.19511,96.69308,,,Kab. Bireuen,Nanggroe Aceh Darussalam,PHOBS
5357,Pos Hujan,11111501a,5.15951,96.8154,,,Kab. Bireuen,Nanggroe Aceh Darussalam,PHOBS
5358,Pos Hujan,11111601a,5.10748,96.76709,,,Kab. Bireuen,Nanggroe Aceh Darussalam,PHOBS
5359,Pos Hujan,11111701a,5.21187,96.83623,,,Kab. Bireuen,Nanggroe Aceh Darussalam,PHOBS
